MC,Hearing 1 Code,Hearing 1 Link,Hearing 2 Code,Hearing 2 Link,Date
 Gregory F. Murphy,WM00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115300,VR00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115275,"Tuesday, January 31, 2023"
 Nancy Mace,GO00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115267,VR00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115275,"Tuesday, January 31, 2023"
 Gary J. Palmer,GO00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115267,IF00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115356,"Tuesday, January 31, 2023"
 Mariannette Miller-Meeks,VR00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115275,IF00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115356,"Tuesday, January 31, 2023"
 Erin Houchin,ED00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115270,RU00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115271,"Tuesday, January 31, 2023"
 Teresa Leger Fernandez,ED00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115270,RU00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115271,"Tuesday, January 31, 2023"
 Thomas Massie,JU00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115265,PW00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115262,"Wednesday, February 1, 2023"
 Thomas Massie,JU00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115265,PW00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115263,"Wednesday, February 1, 2023"
 Jim Jordan,JU00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115265,GO00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115266,"Wednesday, February 1, 2023"
 Andy Biggs,JU00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115265,GO00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115266,"Wednesday, February 1, 2023"
 Russell Fry,JU00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115265,GO00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115266,"Wednesday, February 1, 2023"
