Committee,Code
Committee on Veterans Affairs,VR00
"Subcommittee on Cyber, Information Technologies, and Innovation (Committee on Armed Services)",AS35
Select Committee on the Strategic Competition Between the United States and the Chinese Communist Party,ZS00
"Subcommittee on Environment, Manufacturing, and Critical Minerals (Committee on Energy and Commerce)",IF18
Subcommittee on Technology Modernization (Committee on Veterans Affairs),VR11
Subcommittee on Economic Opportunity (Committee on Veterans Affairs),VR10
"Subcommittee on the Middle East, North Africa, and Central Asia (Committee on Foreign Affairs)",FA13
Subcommittee on Oversight and Investigations (Committee on Veterans Affairs),VR08
Subcommittee on the National Intelligence Enterprise (Permanent Select Committee on Intelligence),IG06
"Subcommittee on National Security, Illicit Finance, and International Financial Institutions (Committee on Financial Services)",BA10
Subcommittee on Energy and Water Development and Related Agencies (Committee on Appropriations),AP10
Subcommittee on the Indo-Pacific (Committee on Foreign Affairs),FA05
Subcommittee on the National Security Agency and Cyber (Permanent Select Committee on Intelligence),IG02
Subcommittee Homeland Security (Committee on Appropriations),AP15
"Subcommittee on Transportation, and Housing and Urban Development, and Related Agencies (Committee on Appropriations)",AP20
Subcommittee on Disability Assistance and Memorial Affairs (Committee on Veterans Affairs),VR09
Subcommittee on Health (Committee on Veterans Affairs),VR03
Subcommittee on the Central Intelligence Agency (Permanent Select Committee on Intelligence),IG01
Select Committee on the Strategic Competition Between the United States and the Chinese Communist Pa,ZS00
Subcommittee on the Western Hemisphere (Committee on Foreign Affairs),FA07
